"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2021-04-23",Aceh,-20,12,-36,-41,-26,-3
"2021-04-24",Aceh,-21,8,-46,-40,-29,1
"2021-04-25",Aceh,-18,11,-45,-39,-19,2
"2021-04-26",Aceh,-18,12,-31,-35,-26,-3
"2021-04-27",Aceh,-18,14,-30,-30,-29,-3
"2021-04-28",Aceh,-17,14,-31,-35,-29,-3
"2021-04-29",Aceh,-15,18,-32,-28,-28,-3
"2021-04-30",Aceh,-14,19,-30,-29,-27,-4
"2021-05-01",Aceh,-12,19,-36,-28,-38,0
"2021-05-02",Aceh,-10,21,-41,-32,-19,0
"2021-05-03",Aceh,-7,30,-23,-20,-30,-5
"2021-05-04",Aceh,-8,32,-23,-17,-32,-6
"2021-05-05",Aceh,-7,29,-25,-22,-33,-5
"2021-05-06",Aceh,-7,34,-27,-34,-32,-4
"2021-05-07",Aceh,-7,34,-27,-42,-32,-4
"2021-05-08",Aceh,-4,37,-31,-38,-35,-2
"2021-05-09",Aceh,0,40,-36,-39,-19,-2
"2021-05-10",Aceh,4,52,-15,-31,-38,-6
"2021-05-11",Aceh,4,63,-11,-26,-45,-6
"2021-05-12",Aceh,7,83,2,-28,-64,-4
"2021-05-13",Aceh,-22,-7,-2,-49,-74,-12
"2021-05-14",Aceh,-8,11,19,-46,-74,-7
"2021-05-15",Aceh,2,22,45,-32,-62,-10
"2021-05-16",Aceh,11,31,39,-29,-40,-12
"2021-05-17",Aceh,3,26,23,-29,-43,-8
"2021-05-18",Aceh,2,29,21,-7,-40,-8
"2021-05-19",Aceh,2,28,10,-14,-32,-9
"2021-05-20",Aceh,2,30,3,-16,-29,-7
"2021-05-21",Aceh,-2,25,-3,-25,-27,-5
"2021-05-22",Aceh,-1,23,-3,-20,-27,-4
"2021-05-23",Aceh,1,24,3,-20,-19,-4
"2021-05-24",Aceh,1,25,1,-23,-25,-6
"2021-05-25",Aceh,-2,24,-2,-17,-26,-6
"2021-05-26",Aceh,-11,10,-12,-23,-57,3
"2021-05-27",Aceh,2,28,-11,-20,-24,-5
"2021-05-28",Aceh,-4,21,-18,-31,-23,-4
"2021-05-29",Aceh,0,24,-14,-26,-23,-4
"2021-05-30",Aceh,1,22,-14,-29,-15,-3
"2021-05-31",Aceh,0,21,-13,-24,-24,-5
"2021-06-01",Aceh,-2,21,-6,-22,-55,1
"2021-06-02",Aceh,3,29,-12,-21,-23,-6
"2021-06-03",Aceh,5,31,-10,-22,-23,-6
"2021-06-04",Aceh,-7,17,-25,-32,-22,-3
"2021-06-05",Aceh,5,32,-11,-22,-21,-5
"2021-06-06",Aceh,5,26,-7,-30,-11,-4
"2021-06-07",Aceh,8,32,-2,-24,-22,-7
"2021-06-08",Aceh,4,29,-5,-20,-22,-7
"2021-06-09",Aceh,6,29,-6,-19,-22,-7
"2021-06-10",Aceh,8,33,-8,-15,-21,-7
"2021-06-11",Aceh,3,28,-7,-23,-20,-6
"2021-06-12",Aceh,1,22,-17,-24,-21,-4
"2021-06-13",Aceh,4,23,-7,-25,-12,-4
"2021-06-14",Aceh,6,26,-5,-19,-22,-7
"2021-06-15",Aceh,3,24,-7,-19,-23,-7
"2021-06-16",Aceh,3,25,-8,-23,-23,-7
"2021-06-17",Aceh,5,26,-8,-22,-22,-7
"2021-06-18",Aceh,1,24,-11,-25,-21,-6
"2021-06-19",Aceh,1,21,-15,-25,-20,-6
"2021-06-20",Aceh,-1,17,-14,-29,-15,-4
"2021-06-21",Aceh,3,22,-5,-28,-27,-7
"2021-06-22",Aceh,-7,12,-15,-23,-29,-5
"2021-06-23",Aceh,1,23,-9,-24,-28,-5
"2021-06-24",Aceh,3,24,-9,-23,-26,-6
"2021-06-25",Aceh,-3,19,-16,-30,-26,-4
"2021-06-26",Aceh,-3,17,-20,-31,-25,-4
"2021-06-27",Aceh,2,19,-6,-31,-12,-4
"2021-06-28",Aceh,3,20,-7,-29,-26,-6
"2021-06-29",Aceh,-3,16,-11,-25,-27,-4
"2021-06-30",Aceh,0,18,-9,-28,-26,-7
"2021-07-01",Aceh,6,29,-8,-23,-24,-6
"2021-07-02",Aceh,4,30,-7,-27,-23,-5
"2021-07-03",Aceh,3,25,-9,-29,-25,-4
"2021-07-04",Aceh,3,22,-6,-34,-13,-4
"2021-07-05",Aceh,-3,16,-17,-32,-25,-4
"2021-07-06",Aceh,4,27,-11,-28,-25,-5
"2021-07-07",Aceh,6,29,-4,-28,-25,-6
"2021-07-08",Aceh,4,26,-12,-27,-23,-6
"2021-07-09",Aceh,-7,14,-25,-37,-26,-1
"2021-07-10",Aceh,-8,14,-33,-37,-25,-1
"2021-07-11",Aceh,-2,21,-31,-38,-9,-1
"2021-07-12",Aceh,6,28,-8,-32,-21,-8
"2021-07-13",Aceh,0,23,-11,-35,-22,-7
"2021-07-14",Aceh,2,23,-15,-31,-20,-7
"2021-07-15",Aceh,6,31,-13,-28,-19,-7
"2021-07-16",Aceh,7,36,-11,-31,-16,-8
"2021-07-17",Aceh,9,40,-16,-29,-16,-7
"2021-07-18",Aceh,13,55,-16,-31,-6,-5
"2021-07-19",Aceh,20,77,8,-29,-40,-7
"2021-07-20",Aceh,-18,-6,14,-47,-71,-8
"2021-07-21",Aceh,-5,9,30,-39,-50,-8
"2021-07-22",Aceh,2,21,26,-36,-40,-7
"2021-07-23",Aceh,2,26,7,-34,-34,-6
"2021-07-24",Aceh,2,26,6,-30,-33,-6
"2021-07-25",Aceh,5,26,2,-34,-15,-6
"2021-07-26",Aceh,6,30,-3,-31,-22,-9
"2021-07-27",Aceh,0,24,-6,-32,-22,-8
"2021-07-28",Aceh,-1,21,-11,-33,-21,-7
"2021-07-29",Aceh,1,25,-14,-35,-19,-7
"2021-07-30",Aceh,-5,19,-23,-42,-18,-5
"2021-07-31",Aceh,-7,14,-33,-43,-20,-2
"2021-08-01",Aceh,-1,22,-22,-42,-13,-3
"2021-08-02",Aceh,7,32,-9,-35,-20,-8
"2021-08-03",Aceh,2,28,-10,-32,-21,-8
"2021-08-04",Aceh,2,26,-14,-35,-20,-7
"2021-08-05",Aceh,4,31,-13,-30,-19,-7
"2021-08-06",Aceh,0,27,-15,-38,-18,-7
"2021-08-07",Aceh,1,25,-17,-35,-20,-5
"2021-08-08",Aceh,2,26,-10,-40,-14,-4
"2021-08-09",Aceh,2,23,-12,-39,-20,-7
"2021-08-10",Aceh,-10,10,-26,-38,-25,-3
"2021-08-11",Aceh,0,23,-11,-34,-54,1
"2021-08-12",Aceh,-1,22,-23,-35,-20,-6
"2021-08-13",Aceh,-1,23,-18,-35,-19,-5
"2021-08-14",Aceh,-5,16,-26,-35,-19,-3
"2021-08-15",Aceh,-3,16,-22,-39,-12,-2
"2021-08-16",Aceh,2,23,-14,-33,-22,-6
"2021-08-17",Aceh,-3,15,1,-38,-54,1
"2021-08-18",Aceh,-5,18,-22,-38,-20,-4
"2021-08-19",Aceh,-4,20,-25,-36,-20,-4
"2021-08-20",Aceh,-5,18,-22,-41,-19,-4
"2021-08-21",Aceh,-5,14,-27,-34,-20,-3
"2021-08-22",Aceh,-1,19,-22,-36,-13,-2
"2021-08-23",Aceh,0,21,-14,-37,-21,-6
"2021-08-24",Aceh,-4,16,-20,-35,-22,-5
"2021-08-25",Aceh,-2,20,-17,-30,-22,-5
"2021-08-26",Aceh,2,24,-16,-21,-20,-6
"2021-08-27",Aceh,-1,21,-15,-30,-19,-5
"2021-08-28",Aceh,-3,17,-21,-23,-17,-3
"2021-08-29",Aceh,-1,17,-17,-30,-12,-2
"2021-08-30",Aceh,-5,13,-24,-33,-20,-4
"2021-08-31",Aceh,-1,21,-13,-27,-20,-5
"2021-09-01",Aceh,-2,21,-23,-27,-21,-5
"2021-09-02",Aceh,7,33,-17,-18,-18,-6
"2021-09-03",Aceh,4,29,-16,-30,-17,-6
"2021-09-04",Aceh,3,24,-18,-21,-18,-5
"2021-09-05",Aceh,5,25,-9,-27,-13,-4
"2021-09-06",Aceh,6,26,-11,-25,-18,-7
"2021-09-07",Aceh,2,25,-12,-21,-19,-7
"2021-09-08",Aceh,-1,18,-22,-26,-19,-5
"2021-09-09",Aceh,2,25,-25,-23,-17,-5
"2021-09-10",Aceh,5,29,-14,-23,-16,-7
"2021-09-11",Aceh,2,23,-18,-21,-17,-4
"2021-09-12",Aceh,2,21,-17,-19,-13,-3
"2021-09-13",Aceh,8,29,-12,-22,-19,-7
"2021-09-14",Aceh,5,26,-10,-21,-20,-7
"2021-09-15",Aceh,4,24,-13,-15,-21,-7
"2021-09-16",Aceh,4,25,-17,-13,-20,-8
"2021-09-17",Aceh,4,27,-14,-22,-19,-7
"2021-09-18",Aceh,2,23,-20,-18,-18,-5
"2021-09-19",Aceh,0,18,-25,-27,-15,-1
"2021-09-20",Aceh,8,28,-11,-21,-18,-7
"2021-09-21",Aceh,2,23,-11,-22,-18,-7
"2021-09-22",Aceh,4,23,-13,-17,-16,-7
"2021-09-23",Aceh,6,27,-14,-10,-15,-7
"2021-09-24",Aceh,3,26,-14,-24,-15,-7
"2021-09-25",Aceh,3,22,-21,-18,-15,-5
"2021-09-26",Aceh,-1,17,-25,-25,-14,-1
"2021-09-27",Aceh,5,25,-16,-19,-16,-7
"2021-09-28",Aceh,1,21,-17,-20,-19,-5
"2021-09-29",Aceh,-1,16,-24,-20,-18,-5
"2021-09-30",Aceh,-2,18,-28,-25,-16,-5
"2021-10-01",Aceh,8,37,-16,-25,-16,-6
"2021-10-02",Aceh,11,35,-11,-16,-14,-6
"2021-10-03",Aceh,11,34,-1,-12,-12,-5
"2021-10-04",Aceh,11,33,-7,-19,-14,-9
"2021-10-05",Aceh,8,32,-8,-18,-16,-9
"2021-10-06",Aceh,10,30,-6,-13,-16,-8
"2021-10-07",Aceh,10,33,-15,-11,-15,-8
"2021-10-08",Aceh,9,33,-11,-14,-14,-8
"2021-10-09",Aceh,9,30,-10,-12,-15,-6
"2021-10-10",Aceh,11,31,-2,-12,-14,-5
"2021-10-11",Aceh,11,31,-7,-16,-14,-8
"2021-10-12",Aceh,7,28,-8,-12,-15,-8
"2021-10-13",Aceh,8,27,-8,-17,-15,-8
"2021-10-14",Aceh,10,32,-15,-12,-13,-8
"2021-10-15",Aceh,7,31,-12,-23,-13,-7
"2021-10-16",Aceh,5,26,-11,-11,-14,-5
"2021-10-17",Aceh,7,28,-6,-13,-14,-4
"2021-10-18",Aceh,10,33,-7,-16,-15,-8
"2021-10-19",Aceh,0,20,-12,-16,-22,-8
"2021-10-20",Aceh,1,18,-9,-18,-54,2
"2021-10-21",Aceh,8,30,-15,-12,-14,-8
"2021-10-22",Aceh,3,26,-17,-25,-13,-7
"2021-10-23",Aceh,3,22,-17,-20,-14,-5
"2021-10-24",Aceh,8,26,-8,-15,-12,-4
"2021-10-25",Aceh,6,24,-12,-16,-14,-7
"2021-10-26",Aceh,5,25,-15,-16,-14,-7
"2021-10-27",Aceh,2,20,-21,-21,-14,-6
"2021-10-28",Aceh,12,36,-11,-9,-12,-8
"2021-10-29",Aceh,4,26,-16,-22,-11,-7
"2021-10-30",Aceh,5,24,-21,-17,-12,-4
"2021-10-31",Aceh,8,28,-13,-20,-10,-3
"2021-11-01",Aceh,11,35,-11,-20,-11,-8
"2021-11-02",Aceh,10,34,-9,-13,-12,-8
"2021-11-03",Aceh,11,35,-12,-16,-13,-7
"2021-11-04",Aceh,12,37,-15,-12,-10,-7
"2021-11-05",Aceh,9,34,-15,-20,-11,-6
"2021-11-06",Aceh,3,24,-22,-17,-14,-4
"2021-11-07",Aceh,11,31,-15,-15,-14,-3
"2021-11-08",Aceh,6,25,-24,-18,-13,-5
"2021-11-09",Aceh,11,35,-11,-6,-12,-7
"2021-11-10",Aceh,8,28,-19,-16,-12,-7
"2021-11-11",Aceh,12,33,-19,-11,-10,-7
"2021-11-12",Aceh,11,36,-15,-15,-10,-5
"2021-11-13",Aceh,12,34,-11,-7,-10,-5
"2021-11-14",Aceh,13,33,-5,-11,-11,-4
"2021-11-15",Aceh,13,32,-9,-9,-10,-7
"2021-11-16",Aceh,8,27,-14,1,-10,-7
"2021-11-17",Aceh,6,23,-25,-18,-14,-4
"2021-11-18",Aceh,14,36,-14,-5,-9,-7
"2021-11-19",Aceh,8,31,-13,-15,-9,-5
"2021-11-20",Aceh,10,30,-11,-13,-10,-5
"2021-11-21",Aceh,11,30,-4,-12,-12,-4
"2021-11-22",Aceh,10,29,-8,-12,-9,-6
"2021-11-23",Aceh,9,29,-10,-3,-10,-7
"2021-11-24",Aceh,7,26,-21,-15,-10,-5
"2021-11-25",Aceh,13,35,-13,-3,-9,-6
"2021-11-26",Aceh,10,35,-12,-10,-9,-6
"2021-11-27",Aceh,9,28,-12,-8,-8,-5
"2021-11-28",Aceh,8,26,-20,-13,-12,0
"2021-11-29",Aceh,5,22,-21,-10,-9,-5
"2021-11-30",Aceh,4,23,-23,-10,-13,-3
"2021-12-01",Aceh,14,39,-11,-10,-10,-7
"2021-12-02",Aceh,14,39,-18,-6,-9,-6
"2021-12-03",Aceh,0,23,-30,-23,-9,-3
"2021-12-04",Aceh,16,39,-11,-8,-8,-6
"2021-12-05",Aceh,11,31,-12,-14,-12,-2
"2021-12-06",Aceh,16,36,-8,-7,-10,-7
"2021-12-07",Aceh,10,31,-11,-3,-11,-6
"2021-12-08",Aceh,14,33,-11,-8,-7,-7
"2021-12-09",Aceh,14,35,-14,-7,-6,-7
"2021-12-10",Aceh,12,35,-13,-16,-6,-6
"2021-12-11",Aceh,12,32,-15,-6,-7,-6
"2021-12-12",Aceh,15,35,-3,-10,-5,-5
"2021-12-13",Aceh,17,36,0,-2,-8,-8
"2021-12-14",Aceh,12,33,-6,3,-18,-6
"2021-12-15",Aceh,14,34,-6,-4,-18,-6
"2021-12-16",Aceh,15,37,-7,3,-18,-6
"2021-12-17",Aceh,8,31,-12,-10,-18,-4
"2021-12-18",Aceh,2,23,-23,-8,-24,0
"2021-12-19",Aceh,12,31,-11,-11,-8,-3
"2021-12-20",Aceh,6,25,-19,-4,-21,-3
"2021-12-21",Aceh,16,40,4,2,-20,-6
"2021-12-22",Aceh,16,37,1,-2,-18,-6
"2021-12-23",Aceh,17,39,-1,5,-12,-7
"2021-12-24",Aceh,13,38,1,-8,-13,-6
"2021-12-25",Aceh,13,32,8,-6,-26,-4
"2021-12-26",Aceh,16,33,5,-6,-5,-5
"2021-12-27",Aceh,16,36,4,2,-13,-7
"2021-12-28",Aceh,13,34,4,2,-14,-7
"2021-12-29",Aceh,15,34,2,-3,-14,-6
"2021-12-30",Aceh,11,34,-4,-4,-14,-5
"2021-12-31",Aceh,12,35,-3,-11,-19,-4
"2021-01-01",Bali,-37,-24,18,-55,-67,16
"2021-01-02",Bali,-34,-20,-28,-44,-39,11
"2021-01-03",Bali,-37,-24,-35,-51,-28,12
"2021-01-04",Bali,-34,-18,-44,-57,-33,14
"2021-01-05",Bali,-37,-23,-49,-56,-35,14
"2021-01-06",Bali,-31,-17,-43,-59,-33,13
"2021-01-07",Bali,-35,-22,-46,-61,-33,14
"2021-01-08",Bali,-38,-26,-54,-68,-35,16
"2021-01-09",Bali,-37,-24,-53,-58,-32,12
"2021-01-10",Bali,-38,-25,-49,-59,-30,11
"2021-01-11",Bali,-36,-22,-47,-65,-36,13
"2021-01-12",Bali,-39,-27,-47,-66,-41,14
"2021-01-13",Bali,-42,-32,-47,-69,-49,14
"2021-01-14",Bali,-44,-36,-52,-70,-43,11
"2021-01-15",Bali,-50,-44,-62,-74,-45,13
"2021-01-16",Bali,-53,-44,-69,-75,-47,13
"2021-01-17",Bali,-48,-40,-56,-73,-41,11
"2021-01-18",Bali,-46,-37,-58,-73,-45,13
"2021-01-19",Bali,-46,-38,-58,-71,-46,13
"2021-01-20",Bali,-44,-35,-56,-71,-45,13
"2021-01-21",Bali,-46,-39,-57,-73,-44,15
"2021-01-22",Bali,-51,-43,-66,-76,-43,17
"2021-01-23",Bali,-49,-39,-67,-74,-41,14
"2021-01-24",Bali,-46,-37,-54,-74,-37,12
"2021-01-25",Bali,-47,-37,-61,-73,-43,15
"2021-01-26",Bali,-44,-36,-53,-70,-43,13
"2021-01-27",Bali,-42,-32,-55,-69,-41,14
"2021-01-28",Bali,-43,-34,-52,-71,-42,13
"2021-01-29",Bali,-46,-35,-60,-73,-40,14
"2021-01-30",Bali,-49,-39,-63,-72,-43,12
"2021-01-31",Bali,-43,-30,-49,-71,-36,8
"2021-02-01",Bali,-42,-26,-56,-70,-41,11
"2021-02-02",Bali,-42,-28,-58,-69,-43,11
"2021-02-03",Bali,-45,-35,-55,-71,-54,15
"2021-02-04",Bali,-43,-33,-57,-71,-42,10
"2021-02-05",Bali,-44,-34,-62,-74,-41,12
"2021-02-06",Bali,-47,-37,-69,-73,-41,12
"2021-02-07",Bali,-45,-35,-53,-73,-38,9
"2021-02-08",Bali,-46,-35,-62,-71,-43,12
"2021-02-09",Bali,-41,-30,-59,-68,-42,11
"2021-02-10",Bali,-39,-27,-58,-67,-41,11
"2021-02-11",Bali,-41,-29,-56,-66,-41,10
"2021-02-12",Bali,-45,-36,-55,-72,-60,16
"2021-02-13",Bali,-46,-36,-59,-71,-44,10
"2021-02-14",Bali,-40,-29,-45,-67,-37,6
"2021-02-15",Bali,-40,-29,-54,-66,-41,10
"2021-02-16",Bali,-40,-30,-51,-67,-42,10
"2021-02-17",Bali,-41,-31,-54,-67,-41,11
"2021-02-18",Bali,-41,-30,-54,-68,-40,11
"2021-02-19",Bali,-47,-37,-63,-73,-40,13
"2021-02-20",Bali,-41,-29,-58,-69,-38,9
"2021-02-21",Bali,-41,-29,-45,-70,-36,8
"2021-02-22",Bali,-45,-34,-63,-70,-41,13
"2021-02-23",Bali,-42,-32,-55,-69,-42,10
"2021-02-24",Bali,-41,-30,-57,-67,-39,11
"2021-02-25",Bali,-40,-27,-53,-68,-39,11
"2021-02-26",Bali,-40,-28,-53,-71,-38,10
"2021-02-27",Bali,-47,-36,-70,-72,-39,12
"2021-02-28",Bali,-40,-24,-54,-70,-34,9
"2021-03-01",Bali,-36,-21,-50,-67,-39,8
"2021-03-02",Bali,-37,-24,-53,-67,-39,9
"2021-03-03",Bali,-38,-25,-55,-67,-39,11
"2021-03-04",Bali,-39,-26,-54,-68,-39,11
"2021-03-05",Bali,-39,-26,-57,-70,-37,11
"2021-03-06",Bali,-38,-25,-56,-67,-37,9
"2021-03-07",Bali,-39,-25,-47,-68,-35,8
"2021-03-08",Bali,-38,-24,-54,-67,-39,10
"2021-03-09",Bali,-42,-29,-59,-66,-41,11
"2021-03-10",Bali,-35,-18,-50,-59,-39,9
"2021-03-11",Bali,-34,-19,-37,-60,-57,13
"2021-03-12",Bali,-34,-11,-49,-66,-40,9
"2021-03-13",Bali,-47,-14,-60,-63,-52,9
"2021-03-14",Bali,-92,-93,-87,-98,-85,36
"2021-03-15",Bali,-46,-35,-20,-63,-68,8
"2021-03-16",Bali,-38,-26,-49,-59,-40,8
"2021-03-17",Bali,-39,-25,-56,-62,-38,11
"2021-03-18",Bali,-38,-27,-50,-64,-38,10
"2021-03-19",Bali,-37,-24,-51,-67,-36,10
"2021-03-20",Bali,-37,-26,-52,-64,-36,8
"2021-03-21",Bali,-38,-26,-38,-64,-33,8
"2021-03-22",Bali,-36,-22,-48,-63,-37,9
"2021-03-23",Bali,-36,-24,-49,-63,-38,9
"2021-03-24",Bali,-36,-24,-49,-62,-38,10
"2021-03-25",Bali,-37,-24,-51,-63,-37,10
"2021-03-26",Bali,-35,-22,-50,-65,-35,9
"2021-03-27",Bali,-34,-19,-47,-63,-35,7
"2021-03-28",Bali,-40,-26,-45,-65,-33,7
"2021-03-29",Bali,-36,-20,-48,-64,-38,8
"2021-03-30",Bali,-36,-24,-47,-63,-40,8
"2021-03-31",Bali,-34,-19,-45,-60,-40,7
"2021-04-01",Bali,-32,-17,-44,-56,-37,7
"2021-04-02",Bali,-33,-20,-31,-62,-57,11
"2021-04-03",Bali,-32,-18,-40,-61,-36,6
"2021-04-04",Bali,-34,-19,-35,-59,-33,7
"2021-04-05",Bali,-32,-15,-44,-57,-38,8
"2021-04-06",Bali,-35,-20,-52,-58,-38,9
"2021-04-07",Bali,-32,-15,-50,-59,-37,9
"2021-04-08",Bali,-37,-23,-49,-59,-39,9
"2021-04-09",Bali,-32,-18,-46,-62,-36,8
"2021-04-10",Bali,-30,-14,-49,-55,-34,7
"2021-04-11",Bali,-33,-14,-46,-60,-31,8
"2021-04-12",Bali,-31,-7,-46,-60,-42,8
"2021-04-13",Bali,-44,-25,-48,-66,-62,14
"2021-04-14",Bali,-41,-29,-14,-69,-69,10
"2021-04-15",Bali,-36,-25,3,-64,-61,8
"2021-04-16",Bali,-35,-20,-43,-69,-38,9
"2021-04-17",Bali,-36,-23,-49,-66,-35,10
"2021-04-18",Bali,-39,-25,-46,-67,-31,11
"2021-04-19",Bali,-33,-17,-48,-64,-36,10
"2021-04-20",Bali,-33,-17,-46,-62,-37,9
