"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2021-01-01",Aceh,-11,6,20,-4,-54,6
"2021-01-02",Aceh,-8,9,10,1,-33,2
"2021-01-03",Aceh,-7,6,-5,9,-15,1
"2021-01-04",Aceh,-8,10,-8,-8,-16,0
"2021-01-05",Aceh,-8,11,-8,-10,-17,0
"2021-01-06",Aceh,-6,14,-8,-9,-15,0
"2021-01-07",Aceh,-5,13,-12,-11,-15,0
"2021-01-08",Aceh,-11,8,-17,-19,-16,1
"2021-01-09",Aceh,-10,6,-20,-14,-16,0
"2021-01-10",Aceh,-10,6,-18,-18,-13,1
"2021-01-11",Aceh,-7,9,-12,-14,-16,-1
"2021-01-12",Aceh,-12,3,-17,-11,-18,-1
"2021-01-13",Aceh,-19,-5,-26,-20,-20,-2
"2021-01-14",Aceh,-18,-4,-28,-28,-25,-3
"2021-01-15",Aceh,-26,-14,-34,-36,-29,-2
"2021-01-16",Aceh,-28,-17,-40,-38,-31,0
"2021-01-17",Aceh,-20,-11,-22,-30,-26,0
"2021-01-18",Aceh,-22,-11,-25,-32,-27,-2
"2021-01-19",Aceh,-25,-15,-28,-34,-29,-2
"2021-01-20",Aceh,-22,-8,-28,-32,-27,-1
"2021-01-21",Aceh,-20,-5,-25,-33,-27,-2
"2021-01-22",Aceh,-22,-9,-29,-34,-26,-1
"2021-01-23",Aceh,-21,-9,-28,-31,-25,-1
"2021-01-24",Aceh,-19,-9,-21,-28,-22,0
"2021-01-25",Aceh,-18,-5,-23,-30,-24,-2
"2021-01-26",Aceh,-21,-9,-26,-30,-25,-2
"2021-01-27",Aceh,-22,-10,-29,-33,-24,-1
"2021-01-28",Aceh,-19,-6,-27,-30,-24,-2
"2021-01-29",Aceh,-20,-7,-29,-34,-23,-4
"2021-01-30",Aceh,-19,-7,-29,-29,-24,-6
"2021-01-31",Aceh,-16,-6,-20,-24,-21,-5
"2021-02-01",Aceh,-16,-1,-24,-28,-24,-8
"2021-02-02",Aceh,-18,-2,-24,-22,-26,-9
"2021-02-03",Aceh,-17,-4,-26,-27,-26,-8
"2021-02-04",Aceh,-16,-3,-27,-28,-27,-8
"2021-02-05",Aceh,-18,-3,-25,-29,-27,-7
"2021-02-06",Aceh,-20,-9,-30,-31,-29,-5
"2021-02-07",Aceh,-15,-6,-21,-30,-27,-5
"2021-02-08",Aceh,-16,-5,-25,-26,-28,-8
"2021-02-09",Aceh,-17,-5,-23,-24,-28,-7
"2021-02-10",Aceh,-18,-6,-26,-25,-28,-9
"2021-02-11",Aceh,-14,-1,-24,-20,-28,-10
"2021-02-12",Aceh,-18,-3,-14,-24,-57,-2
"2021-02-13",Aceh,-18,-3,-20,-35,-32,-6
"2021-02-14",Aceh,-14,0,-15,-19,-27,-7
"2021-02-15",Aceh,-15,0,-22,-22,-27,-9
"2021-02-16",Aceh,-17,-1,-26,-23,-28,-8
"2021-02-17",Aceh,-16,0,-25,-28,-26,-8
"2021-02-18",Aceh,-14,3,-26,-25,-26,-8
"2021-02-19",Aceh,-17,1,-27,-32,-25,-8
"2021-02-20",Aceh,-14,1,-25,-28,-26,-7
"2021-02-21",Aceh,-13,2,-17,-31,-24,-6
"2021-02-22",Aceh,-14,1,-22,-30,-25,-9
"2021-02-23",Aceh,-17,-1,-25,-29,-26,-9
"2021-02-24",Aceh,-16,0,-26,-26,-25,-8
"2021-02-25",Aceh,-13,4,-27,-26,-25,-8
"2021-02-26",Aceh,-15,3,-25,-30,-24,-8
"2021-02-27",Aceh,-13,3,-23,-30,-24,-7
"2021-02-28",Aceh,-11,4,-13,-24,-22,-6
"2021-03-01",Aceh,-9,10,-23,-27,-23,-9
"2021-03-02",Aceh,-13,6,-25,-25,-24,-9
"2021-03-03",Aceh,-12,7,-25,-29,-24,-8
"2021-03-04",Aceh,-10,10,-22,-22,-24,-9
"2021-03-05",Aceh,-14,5,-27,-27,-23,-8
"2021-03-06",Aceh,-12,4,-26,-27,-26,-6
"2021-03-07",Aceh,-9,7,-14,-22,-25,-5
"2021-03-08",Aceh,-9,7,-15,-23,-23,-10
"2021-03-09",Aceh,-13,5,-19,-20,-24,-9
"2021-03-10",Aceh,-9,7,-16,-21,-23,-10
"2021-03-11",Aceh,-10,8,-1,-17,-58,-2
"2021-03-12",Aceh,-13,6,-18,-27,-25,-7
"2021-03-13",Aceh,-11,5,-19,-26,-26,-6
"2021-03-14",Aceh,-9,7,-11,-18,-23,-6
"2021-03-15",Aceh,-8,10,-15,-19,-21,-10
"2021-03-16",Aceh,-13,3,-22,-21,-23,-9
"2021-03-17",Aceh,-12,6,-22,-27,-21,-8
"2021-03-18",Aceh,-10,8,-24,-25,-21,-9
"2021-03-19",Aceh,-11,10,-20,-30,-20,-9
"2021-03-20",Aceh,-9,9,-18,-28,-21,-8
"2021-03-21",Aceh,-8,11,-7,-28,-22,-6
"2021-03-22",Aceh,-9,9,-19,-28,-20,-9
"2021-03-23",Aceh,-12,5,-20,-27,-22,-9
"2021-03-24",Aceh,-12,6,-25,-28,-21,-8
"2021-03-25",Aceh,-12,7,-27,-25,-20,-8
"2021-03-26",Aceh,-15,6,-28,-34,-19,-7
"2021-03-27",Aceh,-12,6,-26,-32,-21,-6
"2021-03-28",Aceh,-15,3,-28,-35,-23,-3
"2021-03-29",Aceh,-19,-1,-33,-35,-20,-6
"2021-03-30",Aceh,-9,12,-20,-29,-21,-9
"2021-03-31",Aceh,-9,11,-23,-29,-20,-9
"2021-04-01",Aceh,-4,22,-20,-22,-19,-10
"2021-04-02",Aceh,-10,12,-23,-30,-55,-1
"2021-04-03",Aceh,-7,16,-17,-27,-23,-8
"2021-04-04",Aceh,-4,17,-7,-24,-21,-8
"2021-04-05",Aceh,-3,18,-13,-24,-19,-10
"2021-04-06",Aceh,-8,13,-20,-24,-21,-9
"2021-04-07",Aceh,-6,18,-19,-23,-23,-9
"2021-04-08",Aceh,-1,24,-11,-16,-20,-11
"2021-04-09",Aceh,-1,27,-12,-21,-19,-11
"2021-04-10",Aceh,2,31,-7,-11,-22,-11
"2021-04-11",Aceh,6,41,-3,-19,-21,-10
"2021-04-12",Aceh,-7,35,7,-22,-44,-8
"2021-04-13",Aceh,-37,2,-43,-46,-46,2
"2021-04-14",Aceh,-27,13,-36,-39,-38,-2
"2021-04-15",Aceh,-23,16,-35,-37,-34,-3
"2021-04-16",Aceh,-28,5,-40,-47,-33,-1
"2021-04-17",Aceh,-24,8,-42,-41,-35,1
"2021-04-18",Aceh,-24,5,-47,-42,-22,2
"2021-04-19",Aceh,-22,8,-36,-39,-27,-3
"2021-04-20",Aceh,-20,14,-30,-33,-28,-4
"2021-04-21",Aceh,-20,12,-34,-38,-29,-3
"2021-04-22",Aceh,-21,10,-39,-35,-27,-3
