"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2020-07-11",Aceh,-8,-1,-19,-37,-8,6
"2020-07-12",Aceh,-4,5,-11,-36,7,4
"2020-07-13",Aceh,-2,5,-13,-33,-9,5
"2020-07-14",Aceh,-6,1,-12,-33,-11,5
"2020-07-15",Aceh,-6,3,-9,-31,-10,6
"2020-07-16",Aceh,-4,5,-8,-30,-11,5
"2020-07-17",Aceh,-10,-2,-15,-34,-10,7
"2020-07-18",Aceh,-5,3,-12,-31,-5,5
"2020-07-19",Aceh,-7,-1,-15,-36,8,6
"2020-07-20",Aceh,-1,6,-7,-31,-9,5
"2020-07-21",Aceh,-10,-3,-19,-31,-11,7
"2020-07-22",Aceh,-6,2,-14,-30,-9,6
"2020-07-23",Aceh,-6,3,-14,-28,-10,6
"2020-07-24",Aceh,-6,4,-10,-29,-8,6
"2020-07-25",Aceh,-6,3,-15,-29,-4,6
"2020-07-26",Aceh,-8,-2,-25,-38,8,7
"2020-07-27",Aceh,-2,8,-11,-28,-10,6
"2020-07-28",Aceh,-3,12,-14,-19,-13,6
"2020-07-29",Aceh,14,42,6,-1,-15,3
"2020-07-30",Aceh,14,57,10,-11,-36,5
"2020-07-31",Aceh,-22,-19,6,-46,-55,3
"2020-08-01",Aceh,-13,-9,9,-38,-37,4
"2020-08-02",Aceh,2,5,25,-25,-14,-1
"2020-08-03",Aceh,5,10,36,-18,-37,4
"2020-08-04",Aceh,3,13,17,-13,-18,3
"2020-08-05",Aceh,2,13,10,-23,-16,4
"2020-08-06",Aceh,1,12,7,-26,-15,4
"2020-08-07",Aceh,-4,6,-3,-30,-12,4
"2020-08-08",Aceh,-3,6,-8,-32,-8,4
"2020-08-09",Aceh,-1,5,-10,-32,7,3
"2020-08-10",Aceh,1,9,-4,-26,-12,4
"2020-08-11",Aceh,-7,-2,-12,-34,-13,2
"2020-08-12",Aceh,-2,8,-7,-28,-13,4
"2020-08-13",Aceh,-1,11,-7,-29,-13,4
"2020-08-14",Aceh,-1,11,-4,-29,-10,4
"2020-08-15",Aceh,-2,7,-10,-30,-5,3
"2020-08-16",Aceh,-3,4,-7,-35,8,4
"2020-08-17",Aceh,-4,1,15,-29,-40,9
"2020-08-18",Aceh,-4,7,-5,-28,-9,3
"2020-08-19",Aceh,-3,8,-5,-26,-11,3
"2020-08-20",Aceh,-4,7,6,-27,-41,8
"2020-08-21",Aceh,-10,1,-9,-37,-34,9
"2020-08-22",Aceh,-8,0,-14,-34,1,4
"2020-08-23",Aceh,-7,0,-12,-31,8,4
"2020-08-24",Aceh,-2,7,-5,-24,-9,4
"2020-08-25",Aceh,-6,5,-9,-21,-12,5
"2020-08-26",Aceh,-5,7,-9,-30,-10,5
"2020-08-27",Aceh,-4,9,-9,-29,-11,4
"2020-08-28",Aceh,-10,1,-16,-36,-10,6
"2020-08-29",Aceh,-8,3,-18,-36,5,4
"2020-08-30",Aceh,-7,1,-13,-34,7,5
"2020-08-31",Aceh,-8,-1,-15,-35,-10,6
"2020-09-01",Aceh,-2,13,-5,-29,-11,4
"2020-09-02",Aceh,-4,10,-7,-29,-11,4
"2020-09-03",Aceh,-4,8,-14,-32,-12,5
"2020-09-04",Aceh,-5,9,-9,-30,-12,6
"2020-09-05",Aceh,-10,0,-23,-36,-8,7
"2020-09-06",Aceh,-3,7,-13,-29,4,5
"2020-09-07",Aceh,-1,9,-6,-27,-12,5
"2020-09-08",Aceh,-7,5,-12,-26,-14,6
"2020-09-09",Aceh,-6,6,-10,-28,-13,5
"2020-09-10",Aceh,-4,7,-13,-27,-14,4
"2020-09-11",Aceh,-10,1,-20,-28,-16,4
"2020-09-12",Aceh,-8,1,-20,-26,-11,4
"2020-09-13",Aceh,-7,0,-18,-22,1,5
"2020-09-14",Aceh,-4,6,-8,-18,-10,4
"2020-09-15",Aceh,-8,4,-11,-22,-12,4
"2020-09-16",Aceh,-5,6,-6,-18,-13,5
"2020-09-17",Aceh,-6,4,-11,-24,-13,6
"2020-09-18",Aceh,-13,-2,-19,-30,-14,8
"2020-09-19",Aceh,-10,0,-22,-32,-9,7
"2020-09-20",Aceh,-6,3,-15,-26,5,7
"2020-09-21",Aceh,-4,6,-6,-22,-13,6
"2020-09-22",Aceh,-12,-2,-13,-21,-16,6
"2020-09-23",Aceh,-17,-6,-21,-29,-19,7
"2020-09-24",Aceh,-17,-5,-20,-29,-19,6
"2020-09-25",Aceh,-18,-5,-20,-28,-17,6
"2020-09-26",Aceh,-16,-5,-21,-28,-12,7
"2020-09-27",Aceh,-14,-5,-15,-24,-3,6
"2020-09-28",Aceh,-13,-1,-14,-26,-15,6
"2020-09-29",Aceh,-16,-5,-15,-25,-18,5
"2020-09-30",Aceh,-15,-2,-15,-24,-21,2
"2020-10-01",Aceh,-13,6,-17,-22,-22,-3
"2020-10-02",Aceh,-12,6,-19,-27,-22,-3
"2020-10-03",Aceh,-14,1,-25,-30,-21,-1
"2020-10-04",Aceh,-9,3,-13,-21,-13,-1
"2020-10-05",Aceh,-6,9,-6,-20,-22,-5
"2020-10-06",Aceh,-11,4,-9,-20,-23,-4
"2020-10-07",Aceh,-13,0,-19,-25,-21,-1
"2020-10-08",Aceh,-7,8,-8,-23,-18,1
"2020-10-09",Aceh,-12,1,-16,-28,-18,5
"2020-10-10",Aceh,-14,-3,-25,-32,-16,6
"2020-10-11",Aceh,-7,4,-14,-24,-4,4
"2020-10-12",Aceh,-8,6,-10,-24,-17,4
"2020-10-13",Aceh,-10,5,-11,-20,-18,4
"2020-10-14",Aceh,-7,6,-7,-20,-16,3
"2020-10-15",Aceh,-4,12,-6,-16,-16,3
"2020-10-16",Aceh,-9,8,-12,-24,-15,5
"2020-10-17",Aceh,-12,1,-25,-23,-13,6
"2020-10-18",Aceh,-4,8,-9,-18,-3,4
"2020-10-19",Aceh,-6,8,-7,-17,-15,4
"2020-10-20",Aceh,-8,6,-5,-18,-16,3
"2020-10-21",Aceh,-9,5,-13,-23,-17,1
"2020-10-22",Aceh,-5,9,-7,-20,-19,-2
"2020-10-23",Aceh,-10,6,-14,-28,-19,-2
"2020-10-24",Aceh,-13,-1,-23,-27,-16,-1
"2020-10-25",Aceh,-6,6,-9,-23,-9,-1
"2020-10-26",Aceh,-4,10,-1,-22,-18,-4
"2020-10-27",Aceh,-7,7,-6,-15,-20,-5
"2020-10-28",Aceh,-8,7,-1,-12,-44,-2
"2020-10-29",Aceh,-11,-2,4,-20,-54,-1
"2020-10-30",Aceh,-13,-4,-9,-26,-46,1
"2020-10-31",Aceh,-12,-4,-12,-19,-25,-2
"2020-11-01",Aceh,-8,0,-10,-13,-13,-4
"2020-11-02",Aceh,-5,7,-12,-16,-19,-5
"2020-11-03",Aceh,-11,0,-23,-23,-22,-4
"2020-11-04",Aceh,-10,5,-19,-21,-20,-4
"2020-11-05",Aceh,-10,5,-20,-19,-21,-4
"2020-11-06",Aceh,-17,-2,-24,-26,-21,-2
"2020-11-07",Aceh,-13,-2,-27,-28,-20,-2
"2020-11-08",Aceh,-9,0,-16,-22,-14,-3
"2020-11-09",Aceh,-9,4,-14,-22,-20,-5
"2020-11-10",Aceh,-11,2,-14,-18,-21,-4
"2020-11-11",Aceh,-9,5,-14,-16,-20,-4
"2020-11-12",Aceh,-9,4,-17,-19,-21,-4
"2020-11-13",Aceh,-15,-2,-25,-23,-20,-2
"2020-11-14",Aceh,-11,0,-22,-23,-17,-3
"2020-11-15",Aceh,-9,0,-12,-19,-12,-3
"2020-11-16",Aceh,-9,3,-13,-19,-19,-4
"2020-11-17",Aceh,-12,1,-14,-19,-20,-4
"2020-11-18",Aceh,-13,-1,-22,-26,-20,-3
"2020-11-19",Aceh,-13,-1,-27,-27,-20,-3
"2020-11-20",Aceh,-15,0,-25,-26,-19,-3
"2020-11-21",Aceh,-14,-3,-30,-29,-17,-2
"2020-11-22",Aceh,-10,0,-23,-26,-14,-2
"2020-11-23",Aceh,-10,2,-18,-22,-19,-4
"2020-11-24",Aceh,-13,1,-20,-23,-21,-4
"2020-11-25",Aceh,-9,5,-18,-23,-18,-5
"2020-11-26",Aceh,-16,-2,-33,-28,-23,-1
"2020-11-27",Aceh,-15,0,-29,-28,-19,-3
"2020-11-28",Aceh,-13,0,-31,-34,-16,-2
"2020-11-29",Aceh,-8,2,-20,-29,-11,-2
"2020-11-30",Aceh,-9,5,-17,-26,-17,-5
"2020-12-01",Aceh,-7,11,-14,-20,-19,-5
"2020-12-02",Aceh,-9,9,-19,-28,-17,-5
"2020-12-03",Aceh,-7,12,-19,-22,-18,-5
"2020-12-04",Aceh,-17,1,-29,-33,-21,-1
"2020-12-05",Aceh,-17,-2,-35,-36,-20,-1
"2020-12-06",Aceh,-7,6,-19,-25,-14,-3
"2020-12-07",Aceh,-8,7,-18,-27,-20,-6
"2020-12-08",Aceh,-9,6,-14,-26,-18,-6
"2020-12-09",Aceh,-11,4,-13,-25,-44,2
"2020-12-10",Aceh,-13,1,-23,-21,-16,0
"2020-12-11",Aceh,-8,9,-15,-22,-14,0
"2020-12-12",Aceh,-9,6,-20,-23,-13,1
"2020-12-13",Aceh,-7,3,-13,-15,-8,2
"2020-12-14",Aceh,-6,7,-10,-16,-14,0
"2020-12-15",Aceh,-8,6,-10,-11,-18,1
"2020-12-16",Aceh,-8,7,-14,-14,-17,1
"2020-12-17",Aceh,-7,8,-15,-16,-18,1
"2020-12-18",Aceh,-9,9,-13,-13,-17,1
"2020-12-19",Aceh,-7,8,-15,-11,-14,0
"2020-12-20",Aceh,-7,1,-15,-7,-11,2
"2020-12-21",Aceh,-8,5,-8,-8,-24,2
"2020-12-22",Aceh,-4,10,0,1,-25,0
"2020-12-23",Aceh,-3,14,1,6,-24,0
"2020-12-24",Aceh,-2,15,9,14,-46,3
"2020-12-25",Aceh,-10,6,6,-2,-50,6
"2020-12-26",Aceh,-8,7,-3,-4,-30,2
"2020-12-27",Aceh,-4,6,4,4,-13,-1
"2020-12-28",Aceh,-3,14,6,6,-26,1
"2020-12-29",Aceh,-6,10,6,8,-27,1
"2020-12-30",Aceh,-5,12,6,5,-27,0
"2020-12-31",Aceh,1,20,27,6,-43,1
"2020-02-15",Bali,5,6,-7,0,3,0
"2020-02-16",Bali,0,6,-16,-5,2,2
"2020-02-17",Bali,1,10,-5,-4,-17,3
"2020-02-18",Bali,-18,-12,-6,-9,-40,8
"2020-02-19",Bali,-10,-10,34,-14,-53,4
"2020-02-20",Bali,-8,-12,45,-6,-43,2
"2020-02-21",Bali,-6,-6,-6,-10,-14,3
"2020-02-22",Bali,1,0,-9,-6,-8,1
"2020-02-23",Bali,-3,-3,-2,-6,2,2
"2020-02-24",Bali,0,2,2,-1,-7,3
"2020-02-25",Bali,0,-1,-2,-4,-8,3
"2020-02-26",Bali,-1,2,-10,-5,-11,4
"2020-02-27",Bali,1,7,-6,-8,-9,2
"2020-02-28",Bali,-7,1,-10,-12,-25,7
"2020-02-29",Bali,-10,-10,-2,-17,-33,2
"2020-03-01",Bali,-14,-12,-20,-17,-10,2
"2020-03-02",Bali,4,11,-3,-12,1,-1
"2020-03-03",Bali,0,3,-8,-6,0,1
"2020-03-04",Bali,1,6,-6,-10,0,2
"2020-03-05",Bali,-1,1,-5,-7,2,2
"2020-03-06",Bali,-4,-2,-14,-13,2,3
"2020-03-07",Bali,-8,-6,-21,-14,0,3
"2020-03-08",Bali,-4,0,-20,-14,0,3
"2020-03-09",Bali,-9,-6,-16,-14,-4,4
"2020-03-10",Bali,-1,0,-6,-12,-4,1
"2020-03-11",Bali,0,3,-4,-12,-2,1
"2020-03-12",Bali,-7,-5,-15,-16,-1,3
"2020-03-13",Bali,-7,-5,-17,-20,0,3
"2020-03-14",Bali,-2,1,-18,-18,0,1
"2020-03-15",Bali,-9,-1,-20,-24,0,4
"2020-03-16",Bali,-8,2,-18,-21,-10,5
"2020-03-17",Bali,-12,-5,-21,-23,-18,7
"2020-03-18",Bali,-14,-4,-28,-26,-19,9
"2020-03-19",Bali,-17,-8,-29,-33,-20,10
"2020-03-20",Bali,-19,-7,-34,-41,-20,10
"2020-03-21",Bali,-24,-9,-46,-41,-18,10
"2020-03-22",Bali,-32,-13,-50,-49,-15,11
"2020-03-23",Bali,-28,-4,-44,-43,-34,13
"2020-03-24",Bali,-44,-10,-48,-49,-57,15
"2020-03-25",Bali,-89,-92,-78,-95,-89,37
"2020-03-26",Bali,-80,-83,-63,-75,-80,30
"2020-03-27",Bali,-43,-23,-57,-61,-44,14
"2020-03-28",Bali,-42,-24,-61,-62,-35,15
"2020-03-29",Bali,-46,-30,-62,-63,-29,16
"2020-03-30",Bali,-38,-25,-51,-58,-38,16
"2020-03-31",Bali,-38,-26,-53,-58,-37,16
"2020-04-01",Bali,-39,-25,-53,-62,-40,18
"2020-04-02",Bali,-40,-27,-54,-64,-41,18
"2020-04-03",Bali,-41,-29,-57,-69,-40,19
"2020-04-04",Bali,-44,-32,-64,-69,-39,17
"2020-04-05",Bali,-47,-33,-63,-71,-35,17
"2020-04-06",Bali,-41,-28,-55,-67,-42,18
"2020-04-07",Bali,-42,-32,-54,-67,-44,17
"2020-04-08",Bali,-42,-30,-55,-67,-43,18
"2020-04-09",Bali,-41,-31,-54,-67,-42,17
"2020-04-10",Bali,-47,-37,-57,-73,-57,22
"2020-04-11",Bali,-46,-35,-65,-73,-40,18
"2020-04-12",Bali,-50,-38,-67,-75,-34,18
"2020-04-13",Bali,-42,-31,-56,-71,-41,19
"2020-04-14",Bali,-44,-36,-57,-70,-43,19
"2020-04-15",Bali,-44,-33,-58,-69,-42,20
"2020-04-16",Bali,-45,-35,-58,-70,-42,20
"2020-04-17",Bali,-46,-36,-61,-74,-41,20
"2020-04-18",Bali,-49,-38,-67,-74,-38,18
"2020-04-19",Bali,-52,-41,-69,-75,-34,18
"2020-04-20",Bali,-44,-34,-57,-70,-41,18
"2020-04-21",Bali,-44,-36,-58,-69,-42,18
"2020-04-22",Bali,-47,-38,-59,-69,-43,19
"2020-04-23",Bali,-46,-36,-58,-65,-42,19
"2020-04-24",Bali,-49,-39,-63,-72,-42,22
"2020-04-25",Bali,-50,-39,-68,-76,-39,19
"2020-04-26",Bali,-53,-41,-69,-80,-34,19
"2020-04-27",Bali,-46,-36,-60,-76,-41,20
"2020-04-28",Bali,-46,-36,-60,-75,-42,19
"2020-04-29",Bali,-47,-36,-60,-76,-42,18
"2020-04-30",Bali,-46,-34,-61,-76,-40,19
"2020-05-01",Bali,-50,-38,-64,-82,-56,24
"2020-05-02",Bali,-48,-36,-68,-81,-39,18
"2020-05-03",Bali,-52,-39,-71,-82,-33,18
"2020-05-04",Bali,-45,-32,-61,-78,-40,19
"2020-05-05",Bali,-45,-34,-61,-76,-42,19
"2020-05-06",Bali,-44,-31,-61,-77,-41,20
"2020-05-07",Bali,-48,-38,-60,-80,-56,23
"2020-05-08",Bali,-47,-35,-64,-81,-40,20
"2020-05-09",Bali,-48,-36,-68,-80,-37,18
"2020-05-10",Bali,-50,-38,-68,-82,-31,18
"2020-05-11",Bali,-43,-32,-60,-78,-39,20
"2020-05-12",Bali,-43,-33,-61,-77,-40,20
"2020-05-13",Bali,-44,-32,-60,-77,-40,20
"2020-05-14",Bali,-44,-33,-61,-76,-39,19
"2020-05-15",Bali,-48,-36,-65,-80,-38,20
"2020-05-16",Bali,-48,-36,-69,-80,-36,19
"2020-05-17",Bali,-51,-38,-70,-82,-31,19
"2020-05-18",Bali,-45,-33,-63,-77,-40,20
"2020-05-19",Bali,-46,-36,-63,-75,-41,19
"2020-05-20",Bali,-45,-32,-64,-76,-41,20
"2020-05-21",Bali,-51,-41,-66,-79,-57,25
"2020-05-22",Bali,-42,-28,-62,-79,-41,20
"2020-05-23",Bali,-45,-30,-67,-81,-40,18
"2020-05-24",Bali,-51,-40,-66,-84,-37,16
"2020-05-25",Bali,-47,-38,-54,-82,-62,23
"2020-05-26",Bali,-44,-34,-59,-79,-42,19
"2020-05-27",Bali,-44,-33,-61,-79,-40,20
"2020-05-28",Bali,-49,-40,-65,-80,-40,21
"2020-05-29",Bali,-45,-34,-64,-81,-37,20
"2020-05-30",Bali,-44,-33,-67,-80,-33,16
"2020-05-31",Bali,-46,-34,-64,-82,-27,15
"2020-06-01",Bali,-42,-33,-54,-78,-54,21
"2020-06-02",Bali,-39,-29,-57,-75,-36,17
"2020-06-03",Bali,-40,-28,-56,-73,-37,18
"2020-06-04",Bali,-41,-30,-58,-73,-37,18
"2020-06-05",Bali,-45,-34,-62,-78,-36,19
"2020-06-06",Bali,-42,-32,-64,-77,-34,16
"2020-06-07",Bali,-44,-33,-60,-79,-28,15
"2020-06-08",Bali,-39,-29,-54,-75,-35,17
"2020-06-09",Bali,-40,-31,-53,-74,-36,17
"2020-06-10",Bali,-38,-29,-53,-73,-35,18
"2020-06-11",Bali,-39,-31,-54,-74,-35,18
"2020-06-12",Bali,-40,-31,-56,-77,-34,18
"2020-06-13",Bali,-42,-34,-61,-77,-32,16
"2020-06-14",Bali,-43,-33,-56,-78,-27,15
"2020-06-15",Bali,-37,-28,-53,-74,-35,16
"2020-06-16",Bali,-37,-29,-51,-71,-36,16
"2020-06-17",Bali,-41,-32,-54,-73,-38,17
"2020-06-18",Bali,-40,-33,-52,-74,-36,16
"2020-06-19",Bali,-41,-33,-57,-77,-35,18
"2020-06-20",Bali,-41,-32,-59,-78,-33,15
"2020-06-21",Bali,-44,-35,-57,-79,-29,15
"2020-06-22",Bali,-37,-29,-49,-74,-37,16
"2020-06-23",Bali,-38,-32,-51,-73,-38,16
"2020-06-24",Bali,-38,-31,-50,-73,-37,16
"2020-06-25",Bali,-39,-32,-50,-74,-37,16
"2020-06-26",Bali,-40,-32,-53,-77,-35,17
"2020-06-27",Bali,-39,-32,-56,-76,-33,15
"2020-06-28",Bali,-43,-34,-53,-78,-28,15
"2020-06-29",Bali,-37,-29,-49,-75,-35,16
"2020-06-30",Bali,-36,-29,-50,-72,-36,16
"2020-07-01",Bali,-34,-26,-50,-70,-36,16
"2020-07-02",Bali,-35,-26,-50,-72,-35,16
"2020-07-03",Bali,-36,-26,-53,-74,-35,16
"2020-07-04",Bali,-39,-32,-56,-75,-37,15
"2020-07-05",Bali,-41,-32,-47,-76,-29,13
"2020-07-06",Bali,-35,-27,-50,-72,-37,16
"2020-07-07",Bali,-34,-27,-48,-71,-38,15
"2020-07-08",Bali,-39,-33,-47,-71,-48,18
"2020-07-09",Bali,-36,-29,-44,-71,-36,15
"2020-07-10",Bali,-36,-29,-47,-73,-34,16
"2020-07-11",Bali,-36,-30,-48,-73,-33,14
"2020-07-12",Bali,-37,-30,-37,-73,-29,13
"2020-07-13",Bali,-35,-28,-46,-70,-35,16
"2020-07-14",Bali,-34,-30,-45,-69,-36,15
"2020-07-15",Bali,-34,-27,-45,-69,-35,16
"2020-07-16",Bali,-34,-28,-45,-69,-34,15
"2020-07-17",Bali,-35,-27,-49,-73,-34,16
"2020-07-18",Bali,-42,-36,-54,-73,-35,15
"2020-07-19",Bali,-40,-33,-43,-73,-30,13
"2020-07-20",Bali,-34,-27,-44,-70,-35,15
"2020-07-21",Bali,-37,-32,-48,-70,-38,16
"2020-07-22",Bali,-35,-29,-44,-68,-35,16
"2020-07-23",Bali,-36,-31,-45,-68,-34,16
"2020-07-24",Bali,-36,-29,-46,-71,-34,16
