"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2020-02-15",Aceh,-1,-2,-7,-3,3,2
"2020-02-16",Aceh,4,3,5,4,3,1
"2020-02-17",Aceh,4,1,5,10,8,0
"2020-02-18",Aceh,0,-1,0,0,5,1
"2020-02-19",Aceh,-2,-3,2,4,6,1
"2020-02-20",Aceh,2,2,7,0,6,0
"2020-02-21",Aceh,-1,-1,8,2,5,1
"2020-02-22",Aceh,0,-2,4,-2,6,1
"2020-02-23",Aceh,0,-1,3,4,4,2
"2020-02-24",Aceh,1,-2,1,2,9,1
"2020-02-25",Aceh,-2,-1,1,-4,8,1
"2020-02-26",Aceh,-2,-2,2,-2,8,1
"2020-02-27",Aceh,0,0,1,-1,8,1
"2020-02-28",Aceh,-1,-1,0,0,8,1
"2020-02-29",Aceh,0,-1,4,-4,9,0
"2020-03-01",Aceh,3,2,12,-2,5,2
"2020-03-02",Aceh,6,5,5,5,10,0
"2020-03-03",Aceh,4,7,5,5,9,0
"2020-03-04",Aceh,4,6,8,9,8,0
"2020-03-05",Aceh,4,7,3,8,7,0
"2020-03-06",Aceh,2,5,4,4,7,1
"2020-03-07",Aceh,6,8,14,5,7,0
"2020-03-08",Aceh,5,5,10,3,4,1
"2020-03-09",Aceh,7,4,8,12,9,0
"2020-03-10",Aceh,0,-2,-3,6,7,2
"2020-03-11",Aceh,4,5,4,9,8,0
"2020-03-12",Aceh,3,5,3,2,7,1
"2020-03-13",Aceh,2,4,4,5,8,1
"2020-03-14",Aceh,2,3,3,6,9,1
"2020-03-15",Aceh,0,4,-2,-2,5,2
"2020-03-16",Aceh,-1,6,-7,3,-3,4
"2020-03-17",Aceh,-4,4,-6,10,-11,5
"2020-03-18",Aceh,-4,3,-3,-3,-11,5
"2020-03-19",Aceh,-5,4,-4,-6,-12,5
"2020-03-20",Aceh,-9,1,-7,-16,-13,6
"2020-03-21",Aceh,-11,-3,-17,-23,-12,7
"2020-03-22",Aceh,-14,-6,-23,-32,2,6
"2020-03-23",Aceh,-14,-2,-13,-25,-16,8
"2020-03-24",Aceh,-21,-4,-18,-27,-21,9
"2020-03-25",Aceh,-28,-13,-21,-35,-44,15
"2020-03-26",Aceh,-31,-14,-30,-38,-24,12
"2020-03-27",Aceh,-29,-7,-23,-30,-25,11
"2020-03-28",Aceh,-36,-14,-40,-31,-22,12
"2020-03-29",Aceh,-39,-21,-47,-43,-10,13
"2020-03-30",Aceh,-40,-25,-33,-40,-29,13
"2020-03-31",Aceh,-41,-25,-32,-41,-30,13
"2020-04-01",Aceh,-39,-23,-31,-43,-29,13
"2020-04-02",Aceh,-36,-18,-28,-45,-29,12
"2020-04-03",Aceh,-37,-22,-32,-50,-28,13
"2020-04-04",Aceh,-34,-19,-39,-51,-22,12
"2020-04-05",Aceh,-28,-19,-40,-53,-4,10
"2020-04-06",Aceh,-27,-20,-30,-49,-24,12
"2020-04-07",Aceh,-21,-10,-20,-42,-24,9
"2020-04-08",Aceh,-26,-16,-25,-45,-25,10
"2020-04-09",Aceh,-23,-12,-23,-47,-24,9
"2020-04-10",Aceh,-26,-17,-23,-51,-43,13
"2020-04-11",Aceh,-24,-15,-31,-50,-19,10
"2020-04-12",Aceh,-27,-21,-40,-55,-2,10
"2020-04-13",Aceh,-19,-12,-21,-46,-21,9
"2020-04-14",Aceh,-20,-11,-19,-43,-22,9
"2020-04-15",Aceh,-20,-10,-18,-44,-22,9
"2020-04-16",Aceh,-18,-7,-16,-44,-22,9
"2020-04-17",Aceh,-22,-13,-22,-48,-22,10
"2020-04-18",Aceh,-19,-8,-26,-43,-14,8
"2020-04-19",Aceh,-19,-9,-27,-45,2,7
"2020-04-20",Aceh,-11,0,-9,-37,-18,7
"2020-04-21",Aceh,-12,3,-10,-35,-20,6
"2020-04-22",Aceh,-11,8,-7,-33,-24,5
"2020-04-23",Aceh,-19,6,-9,-40,-35,8
"2020-04-24",Aceh,-40,-19,-32,-55,-38,14
"2020-04-25",Aceh,-39,-20,-45,-58,-27,14
"2020-04-26",Aceh,-35,-19,-51,-59,-5,13
"2020-04-27",Aceh,-32,-16,-30,-49,-25,12
"2020-04-28",Aceh,-38,-23,-38,-53,-27,12
"2020-04-29",Aceh,-32,-15,-30,-51,-25,11
"2020-04-30",Aceh,-34,-17,-32,-54,-26,11
"2020-05-01",Aceh,-35,-19,-35,-60,-44,16
"2020-05-02",Aceh,-32,-14,-42,-57,-18,12
"2020-05-03",Aceh,-31,-17,-49,-57,-1,11
"2020-05-04",Aceh,-27,-11,-29,-49,-22,11
"2020-05-05",Aceh,-28,-10,-28,-50,-24,11
"2020-05-06",Aceh,-23,-2,-21,-47,-23,10
"2020-05-07",Aceh,-35,-18,-36,-57,-45,16
"2020-05-08",Aceh,-38,-23,-38,-61,-31,15
"2020-05-09",Aceh,-29,-9,-42,-54,-19,12
"2020-05-10",Aceh,-26,-9,-48,-55,2,11
"2020-05-11",Aceh,-20,-2,-24,-49,-21,11
"2020-05-12",Aceh,-20,0,-25,-46,-22,10
"2020-05-13",Aceh,-25,-9,-28,-51,-23,10
"2020-05-14",Aceh,-17,6,-20,-44,-22,8
"2020-05-15",Aceh,-16,5,-19,-46,-21,8
"2020-05-16",Aceh,-18,3,-33,-48,-14,10
"2020-05-17",Aceh,-12,7,-40,-49,7,9
"2020-05-18",Aceh,-3,21,-7,-32,-19,7
"2020-05-19",Aceh,-10,15,-17,-37,-23,8
"2020-05-20",Aceh,0,32,-6,-25,-23,6
"2020-05-21",Aceh,7,47,0,-22,-43,9
"2020-05-22",Aceh,-4,33,-10,-33,-31,9
"2020-05-23",Aceh,1,51,-6,-36,-26,6
"2020-05-24",Aceh,-23,-21,-24,-55,-16,-2
"2020-05-25",Aceh,-5,-2,38,-39,-60,2
"2020-05-26",Aceh,2,6,55,-35,-38,0
"2020-05-27",Aceh,2,9,51,-29,-34,2
"2020-05-28",Aceh,0,8,36,-37,-29,4
"2020-05-29",Aceh,-8,2,1,-42,-25,6
"2020-05-30",Aceh,-8,2,1,-42,-18,4
"2020-05-31",Aceh,-5,1,0,-41,3,3
"2020-06-01",Aceh,-3,4,14,-33,-42,8
"2020-06-02",Aceh,-5,6,-2,-35,-14,4
"2020-06-03",Aceh,-7,5,-3,-34,-14,6
"2020-06-04",Aceh,-9,3,-8,-39,-15,6
"2020-06-05",Aceh,-9,3,-11,-39,-13,6
"2020-06-06",Aceh,-8,3,-13,-40,-9,5
"2020-06-07",Aceh,-6,2,-9,-39,8,5
"2020-06-08",Aceh,-3,6,-4,-35,-11,5
"2020-06-09",Aceh,-8,1,-9,-39,-13,5
"2020-06-10",Aceh,-6,4,-4,-29,-13,5
"2020-06-11",Aceh,-6,2,-8,-40,-13,6
"2020-06-12",Aceh,-6,3,-11,-37,-12,6
"2020-06-13",Aceh,-6,2,-12,-42,-7,5
"2020-06-14",Aceh,-6,0,-8,-39,8,4
"2020-06-15",Aceh,-8,-2,-14,-41,-12,6
"2020-06-16",Aceh,-3,5,-7,-37,-12,5
"2020-06-17",Aceh,-5,3,-7,-35,-12,5
"2020-06-18",Aceh,-6,1,-11,-40,-13,5
"2020-06-19",Aceh,-8,-1,-13,-40,-11,6
"2020-06-20",Aceh,-6,1,-12,-40,-5,4
"2020-06-21",Aceh,-12,-8,-21,-40,6,6
"2020-06-22",Aceh,-5,2,-12,-37,-14,6
"2020-06-23",Aceh,-6,2,-9,-35,-15,5
"2020-06-24",Aceh,-8,0,-11,-36,-14,6
"2020-06-25",Aceh,-8,0,-12,-38,-15,6
"2020-06-26",Aceh,-8,0,-11,-36,-13,5
"2020-06-27",Aceh,-8,0,-13,-42,-10,5
"2020-06-28",Aceh,-8,-3,-11,-41,7,4
"2020-06-29",Aceh,-5,1,-7,-36,-12,5
"2020-06-30",Aceh,-8,-1,-12,-36,-13,6
"2020-07-01",Aceh,-5,5,-9,-36,-13,5
"2020-07-02",Aceh,-2,7,-6,-32,-13,5
"2020-07-03",Aceh,-4,6,-9,-36,-12,5
"2020-07-04",Aceh,-5,3,-8,-36,-10,5
"2020-07-05",Aceh,-3,2,-6,-34,7,3
"2020-07-06",Aceh,0,6,-5,-29,-14,5
"2020-07-07",Aceh,-3,5,-7,-30,-13,5
"2020-07-08",Aceh,-7,1,-13,-34,-13,6
"2020-07-09",Aceh,-1,8,-5,-32,-13,5
"2020-07-10",Aceh,-5,5,-11,-36,-12,5
